Confirmed,Deceased,Recovered,Date,totalConfirmed,totalFatalities,totalRecovered,Region,Population
0,0,0,9/25/2020,2977,2,2749,Dadra & Nagar Haveli and Daman & Diu,615724
12,0,19,9/25/2020,2989,2,2768,Dadra & Nagar Haveli and Daman & Diu,615724
0,0,0,9/26/2020,2989,2,2768,Dadra & Nagar Haveli and Daman & Diu,615724
7,0,25,9/26/2020,2996,2,2793,Dadra & Nagar Haveli and Daman & Diu,615724
0,0,0,9/27/2020,2996,2,2793,Dadra & Nagar Haveli and Daman & Diu,615724
6,0,16,9/27/2020,3002,2,2809,Dadra & Nagar Haveli and Daman & Diu,615724
0,0,0,9/28/2020,3002,2,2809,Dadra & Nagar Haveli and Daman & Diu,615724
10,0,30,9/28/2020,3012,2,2839,Dadra & Nagar Haveli and Daman & Diu,615724
0,0,0,9/29/2020,3012,2,2839,Dadra & Nagar Haveli and Daman & Diu,615724
20,0,33,9/29/2020,3032,2,2872,Dadra & Nagar Haveli and Daman & Diu,615724
0,0,0,9/30/2020,3032,2,2872,Dadra & Nagar Haveli and Daman & Diu,615724
8,0,19,9/30/2020,3040,2,2891,Dadra & Nagar Haveli and Daman & Diu,615724
0,0,0,10/1/2020,3040,2,2891,Dadra & Nagar Haveli and Daman & Diu,615724
14,0,10,10/1/2020,3054,2,2901,Dadra & Nagar Haveli and Daman & Diu,615724
0,0,0,10/2/2020,3054,2,2901,Dadra & Nagar Haveli and Daman & Diu,615724
7,0,20,10/2/2020,3061,2,2921,Dadra & Nagar Haveli and Daman & Diu,615724
0,0,0,10/3/2020,3061,2,2921,Dadra & Nagar Haveli and Daman & Diu,615724
7,0,8,10/3/2020,3068,2,2929,Dadra & Nagar Haveli and Daman & Diu,615724
0,0,0,10/4/2020,3068,2,2929,Dadra & Nagar Haveli and Daman & Diu,615724
17,0,11,10/4/2020,3085,2,2940,Dadra & Nagar Haveli and Daman & Diu,615724
0,0,0,10/5/2020,3085,2,2940,Dadra & Nagar Haveli and Daman & Diu,615724
5,0,8,10/5/2020,3090,2,2948,Dadra & Nagar Haveli and Daman & Diu,615724
0,0,0,10/6/2020,3090,2,2948,Dadra & Nagar Haveli and Daman & Diu,615724
11,0,9,10/6/2020,3101,2,2957,Dadra & Nagar Haveli and Daman & Diu,615724
0,0,0,10/7/2020,3101,2,2957,Dadra & Nagar Haveli and Daman & Diu,615724
17,0,11,10/7/2020,3118,2,2968,Dadra & Nagar Haveli and Daman & Diu,615724
0,0,0,10/8/2020,3118,2,2968,Dadra & Nagar Haveli and Daman & Diu,615724
11,0,15,10/8/2020,3129,2,2983,Dadra & Nagar Haveli and Daman & Diu,615724
0,0,0,10/9/2020,3129,2,2983,Dadra & Nagar Haveli and Daman & Diu,615724
8,0,12,10/9/2020,3137,2,2995,Dadra & Nagar Haveli and Daman & Diu,615724
0,0,0,10/10/2020,3137,2,2995,Dadra & Nagar Haveli and Daman & Diu,615724
12,0,13,10/10/2020,3149,2,3008,Dadra & Nagar Haveli and Daman & Diu,615724
0,0,0,10/11/2020,3149,2,3008,Dadra & Nagar Haveli and Daman & Diu,615724
11,0,9,10/11/2020,3160,2,3017,Dadra & Nagar Haveli and Daman & Diu,615724
0,0,0,10/12/2020,3160,2,3017,Dadra & Nagar Haveli and Daman & Diu,615724
5,0,5,10/12/2020,3165,2,3022,Dadra & Nagar Haveli and Daman & Diu,615724
0,0,0,10/13/2020,3165,2,3022,Dadra & Nagar Haveli and Daman & Diu,615724
0,0,17,10/13/2020,3165,2,3039,Dadra & Nagar Haveli and Daman & Diu,615724
0,0,0,10/14/2020,3165,2,3039,Dadra & Nagar Haveli and Daman & Diu,615724
3,0,9,10/14/2020,3168,2,3048,Dadra & Nagar Haveli and Daman & Diu,615724
0,0,0,10/15/2020,3168,2,3048,Dadra & Nagar Haveli and Daman & Diu,615724
1,0,8,10/15/2020,3169,2,3056,Dadra & Nagar Haveli and Daman & Diu,615724
0,0,0,10/16/2020,3169,2,3056,Dadra & Nagar Haveli and Daman & Diu,615724
5,0,11,10/16/2020,3174,2,3067,Dadra & Nagar Haveli and Daman & Diu,615724
0,0,0,10/17/2020,3174,2,3067,Dadra & Nagar Haveli and Daman & Diu,615724
3,0,10,10/17/2020,3177,2,3077,Dadra & Nagar Haveli and Daman & Diu,615724
0,0,0,10/18/2020,3177,2,3077,Dadra & Nagar Haveli and Daman & Diu,615724
3,0,8,10/18/2020,3180,2,3085,Dadra & Nagar Haveli and Daman & Diu,615724
0,0,0,10/19/2020,3180,2,3085,Dadra & Nagar Haveli and Daman & Diu,615724
2,0,13,10/19/2020,3182,2,3098,Dadra & Nagar Haveli and Daman & Diu,615724
0,0,0,10/20/2020,3182,2,3098,Dadra & Nagar Haveli and Daman & Diu,615724
9,0,13,10/20/2020,3191,2,3111,Dadra & Nagar Haveli and Daman & Diu,615724
0,0,0,10/21/2020,3191,2,3111,Dadra & Nagar Haveli and Daman & Diu,615724
13,0,8,10/21/2020,3204,2,3119,Dadra & Nagar Haveli and Daman & Diu,615724
0,0,0,10/22/2020,3204,2,3119,Dadra & Nagar Haveli and Daman & Diu,615724
2,0,1,10/22/2020,3206,2,3120,Dadra & Nagar Haveli and Daman & Diu,615724
7,1,1,3/14/2020,7,1,1,Delhi,18710922
0,0,1,3/15/2020,7,1,2,Delhi,18710922
0,0,0,3/16/2020,7,1,2,Delhi,18710922
1,0,0,3/17/2020,8,1,2,Delhi,18710922
2,0,0,3/18/2020,10,1,2,Delhi,18710922
4,0,1,3/19/2020,14,1,3,Delhi,18710922
6,0,2,3/20/2020,20,1,5,Delhi,18710922
7,0,0,3/21/2020,27,1,5,Delhi,18710922
0,0,0,3/22/2020,27,1,5,Delhi,18710922
3,0,0,3/23/2020,30,1,5,Delhi,18710922
0,0,1,3/24/2020,30,1,6,Delhi,18710922
5,0,0,3/25/2020,35,1,6,Delhi,18710922
1,0,0,3/26/2020,36,1,6,Delhi,18710922
4,0,0,3/27/2020,40,1,6,Delhi,18710922
9,0,0,3/28/2020,49,1,6,Delhi,18710922
23,1,0,3/29/2020,72,2,6,Delhi,18710922
25,0,0,3/30/2020,97,2,6,Delhi,18710922
23,0,0,3/31/2020,120,2,6,Delhi,18710922
32,0,0,4/1/2020,152,2,6,Delhi,18710922
141,2,2,4/2/2020,293,4,8,Delhi,18710922
93,2,0,4/3/2020,386,6,8,Delhi,18710922
59,0,8,4/4/2020,445,6,16,Delhi,18710922
58,1,0,4/5/2020,503,7,16,Delhi,18710922
22,0,0,4/6/2020,525,7,16,Delhi,18710922
51,2,4,4/7/2020,576,9,20,Delhi,18710922
93,0,1,4/8/2020,669,9,21,Delhi,18710922
51,3,4,4/9/2020,720,12,25,Delhi,18710922
183,2,2,4/10/2020,903,14,27,Delhi,18710922
166,5,0,4/11/2020,1069,19,27,Delhi,18710922
85,5,1,4/12/2020,1154,24,28,Delhi,18710922
356,4,3,4/13/2020,1510,28,31,Delhi,18710922
51,2,0,4/14/2020,1561,30,31,Delhi,18710922
17,2,10,4/15/2020,1578,32,41,Delhi,18710922
62,6,11,4/16/2020,1640,38,52,Delhi,18710922
67,4,20,4/17/2020,1707,42,72,Delhi,18710922
186,1,135,4/18/2020,1893,43,207,Delhi,18710922
110,2,83,4/19/2020,2003,45,290,Delhi,18710922
78,2,141,4/20/2020,2081,47,431,Delhi,18710922
75,0,180,4/21/2020,2156,47,611,Delhi,18710922
92,1,113,4/22/2020,2248,48,724,Delhi,18710922
128,2,84,4/23/2020,2376,50,808,Delhi,18710922
138,3,49,4/24/2020,2514,53,857,Delhi,18710922
111,1,12,4/25/2020,2625,54,869,Delhi,18710922
293,0,8,4/26/2020,2918,54,877,Delhi,18710922
190,0,0,4/27/2020,3108,54,877,Delhi,18710922
206,0,201,4/28/2020,3314,54,1078,Delhi,18710922
125,2,14,4/29/2020,3439,56,1092,Delhi,18710922
76,3,2,4/30/2020,3515,59,1094,Delhi,18710922
223,2,73,5/1/2020,3738,61,1167,Delhi,18710922
384,3,89,5/2/2020,4122,64,1256,Delhi,18710922
427,0,106,5/3/2020,4549,64,1362,Delhi,18710922
349,0,69,5/4/2020,4898,64,1431,Delhi,18710922
206,0,37,5/5/2020,5104,64,1468,Delhi,18710922
428,1,74,5/6/2020,5532,65,1542,Delhi,18710922
448,1,389,5/7/2020,5980,66,1931,Delhi,18710922
338,2,89,5/8/2020,6318,68,2020,Delhi,18710922
224,0,0,5/9/2020,6542,68,2020,Delhi,18710922
381,5,49,5/10/2020,6923,73,2069,Delhi,18710922
310,0,60,5/11/2020,7233,73,2129,Delhi,18710922
406,13,383,5/12/2020,7639,86,2512,Delhi,18710922
359,20,346,5/13/2020,7998,106,2858,Delhi,18710922
472,9,187,5/14/2020,8470,115,3045,Delhi,18710922
425,8,473,5/15/2020,8895,123,3518,Delhi,18710922
438,6,408,5/16/2020,9333,129,3926,Delhi,18710922
422,19,276,5/17/2020,9755,148,4202,Delhi,18710922
299,12,283,5/18/2020,10054,160,4485,Delhi,18710922
500,6,265,5/19/2020,10554,166,4750,Delhi,18710922
534,10,442,5/20/2020,11088,176,5192,Delhi,18710922
571,18,375,5/21/2020,11659,194,5567,Delhi,18710922
660,14,330,5/22/2020,12319,208,5897,Delhi,18710922
591,23,370,5/23/2020,12910,231,6267,Delhi,18710922
508,30,273,5/24/2020,13418,261,6540,Delhi,18710922
635,15,231,5/25/2020,14053,276,6771,Delhi,18710922
412,12,183,5/26/2020,14465,288,6954,Delhi,18710922
792,15,310,5/27/2020,15257,303,7264,Delhi,18710922
1024,13,231,5/28/2020,16281,316,7495,Delhi,18710922
1105,82,351,5/29/2020,17386,398,7846,Delhi,18710922
1163,18,229,5/30/2020,18549,416,8075,Delhi,18710922
1295,57,403,5/31/2020,19844,473,8478,Delhi,18710922
990,50,268,6/1/2020,20834,523,8746,Delhi,18710922
1298,33,497,6/2/2020,22132,556,9243,Delhi,18710922
1513,59,299,6/3/2020,23645,615,9542,Delhi,18710922
1359,44,356,6/4/2020,25004,659,9898,Delhi,18710922
1330,49,417,6/5/2020,26334,708,10315,Delhi,18710922
1320,53,349,6/6/2020,27654,761,10664,Delhi,18710922
1282,51,335,6/7/2020,28936,812,10999,Delhi,18710922
1007,62,358,6/8/2020,29943,874,11357,Delhi,18710922
1366,31,504,6/9/2020,31309,905,11861,Delhi,18710922
1501,79,384,6/10/2020,32810,984,12245,Delhi,18710922
1877,101,486,6/11/2020,34687,1085,12731,Delhi,18710922
2137,129,667,6/12/2020,36824,1214,13398,Delhi,18710922
2134,57,1547,6/13/2020,38958,1271,14945,Delhi,18710922
2224,56,878,6/14/2020,41182,1327,15823,Delhi,18710922
1647,73,604,6/15/2020,42829,1400,16427,Delhi,18710922
1859,437,73,6/16/2020,44688,1837,16500,Delhi,18710922
2414,67,957,6/17/2020,47102,1904,17457,Delhi,18710922
2877,65,3884,6/18/2020,49979,1969,21341,Delhi,18710922
3137,66,2228,6/19/2020,53116,2035,23569,Delhi,18710922
3630,77,7725,6/20/2020,56746,2112,31294,Delhi,18710922
3000,63,1719,6/21/2020,59746,2175,33013,Delhi,18710922
2909,58,3589,6/22/2020,62655,2233,36602,Delhi,18710922
3947,68,2711,6/23/2020,66602,2301,39313,Delhi,18710922
3788,64,2124,6/24/2020,70390,2365,41437,Delhi,18710922
3390,64,3328,6/25/2020,73780,2429,44765,Delhi,18710922
3460,63,2326,6/26/2020,77240,2492,47091,Delhi,18710922
2948,66,2210,6/27/2020,80188,2558,49301,Delhi,18710922
2889,65,3306,6/28/2020,83077,2623,52607,Delhi,18710922
2084,57,3628,6/29/2020,85161,2680,56235,Delhi,18710922
2199,62,2113,6/30/2020,87360,2742,58348,Delhi,18710922
2442,61,1644,7/1/2020,89802,2803,59992,Delhi,18710922
2373,61,3015,7/2/2020,92175,2864,63007,Delhi,18710922
2520,59,2617,7/3/2020,94695,2923,65624,Delhi,18710922
2505,81,2632,7/4/2020,97200,3004,68256,Delhi,18710922
2244,63,3083,7/5/2020,99444,3067,71339,Delhi,18710922
1379,48,749,7/6/2020,100823,3115,72088,Delhi,18710922
2008,50,2129,7/7/2020,102831,3165,74217,Delhi,18710922
2033,48,3982,7/8/2020,104864,3213,78199,Delhi,18710922
2187,45,4027,7/9/2020,107051,3258,82226,Delhi,18710922
2089,42,2468,7/10/2020,109140,3300,84694,Delhi,18710922
1781,34,2998,7/11/2020,110921,3334,87692,Delhi,18710922
1573,37,2276,7/12/2020,112494,3371,89968,Delhi,18710922
1246,40,1344,7/13/2020,113740,3411,91312,Delhi,18710922
1606,35,1924,7/14/2020,115346,3446,93236,Delhi,18710922
1647,41,2463,7/15/2020,116993,3487,95699,Delhi,18710922
1652,58,1994,7/16/2020,118645,3545,97693,Delhi,18710922
1462,26,1608,7/17/2020,120107,3571,99301,Delhi,18710922
1475,26,1973,7/18/2020,121582,3597,101274,Delhi,18710922
1211,31,1860,7/19/2020,122793,3628,103134,Delhi,18710922
954,35,1784,7/20/2020,123747,3663,104918,Delhi,18710922
1349,27,1200,7/21/2020,125096,3690,106118,Delhi,18710922
1227,29,1532,7/22/2020,126323,3719,107650,Delhi,18710922
1041,26,1415,7/23/2020,127364,3745,109065,Delhi,18710922
1025,32,1866,7/24/2020,128389,3777,110931,Delhi,18710922
1142,29,2137,7/25/2020,129531,3806,113068,Delhi,18710922
1075,21,1807,7/26/2020,130606,3827,114875,Delhi,18710922
613,26,1497,7/27/2020,131219,3853,116372,Delhi,18710922
1056,28,1135,7/28/2020,132275,3881,117507,Delhi,18710922
1035,26,1126,7/29/2020,133310,3907,118633,Delhi,18710922
1093,29,1091,7/30/2020,134403,3936,119724,Delhi,18710922
1195,27,1206,7/31/2020,135598,3963,120930,Delhi,18710922
1118,26,1201,8/1/2020,136716,3989,122131,Delhi,18710922
961,15,1186,8/2/2020,137677,4004,123317,Delhi,18710922
805,17,937,8/3/2020,138482,4021,124254,Delhi,18710922
674,12,972,8/4/2020,139156,4033,125226,Delhi,18710922
1076,11,890,8/5/2020,140232,4044,126116,Delhi,18710922
1299,15,1008,8/6/2020,141531,4059,127124,Delhi,18710922
1192,23,1108,8/7/2020,142723,4082,128232,Delhi,18710922
1404,16,1130,8/8/2020,144127,4098,129362,Delhi,18710922
1300,13,1225,8/9/2020,145427,4111,130587,Delhi,18710922
707,20,1070,8/10/2020,146134,4131,131657,Delhi,18710922
1257,8,727,8/11/2020,147391,4139,132384,Delhi,18710922
1113,14,1021,8/12/2020,148504,4153,133405,Delhi,18710922
956,14,913,8/13/2020,149460,4167,134318,Delhi,18710922
1192,11,790,8/14/2020,150652,4178,135108,Delhi,18710922
1276,10,1143,8/15/2020,151928,4188,136251,Delhi,18710922
652,8,1310,8/16/2020,152580,4196,137561,Delhi,18710922
787,18,740,8/17/2020,153367,4214,138301,Delhi,18710922
1374,12,1146,8/18/2020,154741,4226,139447,Delhi,18710922
1398,9,1320,8/19/2020,156139,4235,140767,Delhi,18710922
1215,22,1059,8/20/2020,157354,4257,141826,Delhi,18710922
1250,13,1082,8/21/2020,158604,4270,142908,Delhi,18710922
1412,14,1230,8/22/2020,160016,4284,144138,Delhi,18710922
1450,16,1250,8/23/2020,161466,4300,145388,Delhi,18710922
1061,13,1200,8/24/2020,162527,4313,146588,Delhi,18710922
1544,17,1155,8/25/2020,164071,4330,147743,Delhi,18710922
1693,17,1154,8/26/2020,165764,4347,148897,Delhi,18710922
1840,22,1130,8/27/2020,167604,4369,150027,Delhi,18710922
1808,20,1446,8/28/2020,169412,4389,151473,Delhi,18710922
1954,15,1449,8/29/2020,171366,4404,152922,Delhi,18710922
2024,22,1249,8/30/2020,173390,4426,154171,Delhi,18710922
1358,18,1507,8/31/2020,174748,4444,155678,Delhi,18710922
2312,18,1050,9/1/2020,177060,4462,156728,Delhi,18710922
2509,19,1858,9/2/2020,179569,4481,158586,Delhi,18710922
2737,19,1528,9/3/2020,182306,4500,160114,Delhi,18710922
2914,13,1751,9/4/2020,185220,4513,161865,Delhi,18710922
2973,25,1920,9/5/2020,188193,4538,163785,Delhi,18710922
3256,29,2188,9/6/2020,191449,4567,165973,Delhi,18710922
2077,32,2411,9/7/2020,193526,4599,168384,Delhi,18710922
3609,19,1756,9/8/2020,197135,4618,170140,Delhi,18710922
4039,20,2623,9/9/2020,201174,4638,172763,Delhi,18710922
4308,28,2637,9/10/2020,205482,4666,175400,Delhi,18710922
4266,21,2754,9/11/2020,209748,4687,178154,Delhi,18710922
4321,28,3141,9/12/2020,214069,4715,181295,Delhi,18710922
4235,29,3403,9/13/2020,218304,4744,184698,Delhi,18710922
3229,26,3374,9/14/2020,221533,4770,188072,Delhi,18710922
4263,36,3131,9/15/2020,225796,4806,191203,Delhi,18710922
4473,33,3313,9/16/2020,230269,4839,194516,Delhi,18710922
4432,38,3587,9/17/2020,234701,4877,198103,Delhi,18710922
4127,30,3568,9/18/2020,238828,4907,201671,Delhi,18710922
4071,38,4219,9/19/2020,242899,4945,205890,Delhi,18710922
3812,37,3742,9/20/2020,246711,4982,209632,Delhi,18710922
2548,32,3672,9/21/2020,249259,5014,213304,Delhi,18710922
3816,37,3097,9/22/2020,253075,5051,216401,Delhi,18710922
3714,36,4465,9/23/2020,256789,5087,220866,Delhi,18710922
3834,36,3509,9/24/2020,260623,5123,224375,Delhi,18710922
3827,24,4061,9/25/2020,264450,5147,228436,Delhi,18710922
3372,46,4476,9/26/2020,267822,5193,232912,Delhi,18710922
3292,42,3739,9/27/2020,271114,5235,236651,Delhi,18710922
1984,37,4052,9/28/2020,273098,5272,240703,Delhi,18710922
3227,48,2778,9/29/2020,276325,5320,243481,Delhi,18710922
3390,41,3965,9/30/2020,279715,5361,247446,Delhi,18710922
3037,40,3167,10/1/2020,282752,5401,250613,Delhi,18710922
2920,37,3171,10/2/2020,285672,5438,253784,Delhi,18710922
2258,34,3440,10/3/2020,287930,5472,257224,Delhi,18710922
2683,38,3126,10/4/2020,290613,5510,260350,Delhi,18710922
1947,32,3588,10/5/2020,292560,5542,263938,Delhi,18710922
2676,39,2997,10/6/2020,295236,5581,266935,Delhi,18710922
2871,35,3370,10/7/2020,298107,5616,270305,Delhi,18710922
2726,37,2643,10/8/2020,300833,5653,272948,Delhi,18710922
2860,39,3098,10/9/2020,303693,5692,276046,Delhi,18710922
2866,48,2766,10/10/2020,306559,5740,278812,Delhi,18710922
2780,29,3057,10/11/2020,309339,5769,281869,Delhi,18710922
1849,40,2975,10/12/2020,311188,5809,284844,Delhi,18710922
3036,45,2036,10/13/2020,314224,5854,286880,Delhi,18710922
3324,44,2867,10/14/2020,317548,5898,289747,Delhi,18710922
3483,26,2755,10/15/2020,321031,5924,292502,Delhi,18710922
3428,22,3197,10/16/2020,324459,5946,295699,Delhi,18710922
3259,35,3154,10/17/2020,327718,5981,298853,Delhi,18710922
3299,28,2863,10/18/2020,331017,6009,301716,Delhi,18710922
2154,31,2845,10/19/2020,333171,6040,304561,Delhi,18710922
3579,41,2186,10/20/2020,336750,6081,306747,Delhi,18710922
3686,47,3444,10/21/2020,340436,6128,310191,Delhi,18710922
3882,35,2727,10/22/2020,344318,6163,312918,Delhi,18710922
0,0,0,3/14/2020,0,0,0,Goa,1586250
0,0,0,3/15/2020,0,0,0,Goa,1586250
0,0,0,3/16/2020,0,0,0,Goa,1586250
0,0,0,3/17/2020,0,0,0,Goa,1586250
0,0,0,3/18/2020,0,0,0,Goa,1586250
0,0,0,3/19/2020,0,0,0,Goa,1586250
0,0,0,3/20/2020,0,0,0,Goa,1586250
0,0,0,3/21/2020,0,0,0,Goa,1586250
0,0,0,3/22/2020,0,0,0,Goa,1586250
0,0,0,3/23/2020,0,0,0,Goa,1586250
0,0,0,3/24/2020,0,0,0,Goa,1586250
3,0,0,3/25/2020,3,0,0,Goa,1586250
0,0,0,3/26/2020,3,0,0,Goa,1586250
0,0,0,3/27/2020,3,0,0,Goa,1586250
0,0,0,3/28/2020,3,0,0,Goa,1586250
2,0,0,3/29/2020,5,0,0,Goa,1586250
0,0,0,3/30/2020,5,0,0,Goa,1586250
0,0,0,3/31/2020,5,0,0,Goa,1586250
0,0,0,4/1/2020,5,0,0,Goa,1586250
0,0,0,4/2/2020,5,0,0,Goa,1586250
1,0,0,4/3/2020,6,0,0,Goa,1586250
1,0,0,4/4/2020,7,0,0,Goa,1586250
0,0,0,4/5/2020,7,0,0,Goa,1586250
0,0,0,4/6/2020,7,0,0,Goa,1586250
0,0,0,4/7/2020,7,0,0,Goa,1586250
0,0,0,4/8/2020,7,0,0,Goa,1586250
0,0,0,4/9/2020,7,0,0,Goa,1586250
0,0,1,4/10/2020,7,0,1,Goa,1586250
0,0,4,4/11/2020,7,0,5,Goa,1586250
0,0,0,4/12/2020,7,0,5,Goa,1586250
0,0,0,4/13/2020,7,0,5,Goa,1586250
0,0,0,4/14/2020,7,0,5,Goa,1586250
0,0,1,4/15/2020,7,0,6,Goa,1586250
0,0,0,4/16/2020,7,0,6,Goa,1586250
0,0,0,4/17/2020,7,0,6,Goa,1586250
0,0,0,4/18/2020,7,0,6,Goa,1586250
0,0,1,4/19/2020,7,0,7,Goa,1586250
0,0,0,4/20/2020,7,0,7,Goa,1586250
0,0,0,4/21/2020,7,0,7,Goa,1586250
0,0,0,4/22/2020,7,0,7,Goa,1586250
0,0,0,4/23/2020,7,0,7,Goa,1586250
0,0,0,4/24/2020,7,0,7,Goa,1586250
0,0,0,4/25/2020,7,0,7,Goa,1586250
0,0,0,4/26/2020,7,0,7,Goa,1586250
0,0,0,4/27/2020,7,0,7,Goa,1586250
0,0,0,4/28/2020,7,0,7,Goa,1586250
0,0,0,4/29/2020,7,0,7,Goa,1586250
0,0,0,4/30/2020,7,0,7,Goa,1586250
0,0,0,5/1/2020,7,0,7,Goa,1586250
0,0,0,5/2/2020,7,0,7,Goa,1586250
0,0,0,5/3/2020,7,0,7,Goa,1586250
0,0,0,5/4/2020,7,0,7,Goa,1586250
0,0,0,5/5/2020,7,0,7,Goa,1586250
0,0,0,5/6/2020,7,0,7,Goa,1586250
0,0,0,5/7/2020,7,0,7,Goa,1586250
0,0,0,5/8/2020,7,0,7,Goa,1586250
0,0,0,5/9/2020,7,0,7,Goa,1586250
0,0,0,5/10/2020,7,0,7,Goa,1586250
0,0,0,5/11/2020,7,0,7,Goa,1586250
0,0,0,5/12/2020,7,0,7,Goa,1586250
0,0,0,5/13/2020,7,0,7,Goa,1586250
8,0,0,5/14/2020,15,0,7,Goa,1586250
0,0,0,5/15/2020,15,0,7,Goa,1586250
5,0,0,5/16/2020,20,0,7,Goa,1586250
9,0,0,5/17/2020,29,0,7,Goa,1586250
9,0,0,5/18/2020,38,0,7,Goa,1586250
8,0,0,5/19/2020,46,0,7,Goa,1586250
4,0,0,5/20/2020,50,0,7,Goa,1586250
2,0,0,5/21/2020,52,0,7,Goa,1586250
2,0,9,5/22/2020,54,0,16,Goa,1586250
1,0,0,5/23/2020,55,0,16,Goa,1586250
11,0,0,5/24/2020,66,0,16,Goa,1586250
1,0,3,5/25/2020,67,0,19,Goa,1586250
0,0,9,5/26/2020,67,0,28,Goa,1586250
1,0,9,5/27/2020,68,0,37,Goa,1586250
1,0,1,5/28/2020,69,0,38,Goa,1586250
0,0,3,5/29/2020,69,0,41,Goa,1586250
1,0,1,5/30/2020,70,0,42,Goa,1586250
1,0,2,5/31/2020,71,0,44,Goa,1586250
2,0,6,6/1/2020,73,0,50,Goa,1586250
6,0,7,6/2/2020,79,0,57,Goa,1586250
47,0,0,6/3/2020,126,0,57,Goa,1586250
40,0,0,6/4/2020,166,0,57,Goa,1586250
30,0,8,6/5/2020,196,0,65,Goa,1586250
71,0,0,6/6/2020,267,0,65,Goa,1586250
33,0,0,6/7/2020,300,0,65,Goa,1586250
30,0,2,6/8/2020,330,0,67,Goa,1586250
29,0,0,6/9/2020,359,0,67,Goa,1586250
28,0,0,6/10/2020,387,0,67,Goa,1586250
30,0,0,6/11/2020,417,0,67,Goa,1586250
46,0,2,6/12/2020,463,0,69,Goa,1586250
60,0,1,6/13/2020,523,0,70,Goa,1586250
41,0,4,6/14/2020,564,0,74,Goa,1586250
28,0,11,6/15/2020,592,0,85,Goa,1586250
37,0,0,6/16/2020,629,0,85,Goa,1586250
27,0,11,6/17/2020,656,0,96,Goa,1586250
49,0,13,6/18/2020,705,0,109,Goa,1586250
20,0,9,6/19/2020,725,0,118,Goa,1586250
29,0,11,6/20/2020,754,0,129,Goa,1586250
64,0,6,6/21/2020,818,0,135,Goa,1586250
46,1,17,6/22/2020,864,1,152,Goa,1586250
45,1,53,6/23/2020,909,2,205,Goa,1586250
42,0,84,6/24/2020,951,2,289,Goa,1586250
44,0,46,6/25/2020,995,2,335,Goa,1586250
44,0,35,6/26/2020,1039,2,370,Goa,1586250
89,0,50,6/27/2020,1128,2,420,Goa,1586250
70,1,58,6/28/2020,1198,3,478,Goa,1586250
53,0,46,6/29/2020,1251,3,524,Goa,1586250
64,0,72,6/30/2020,1315,3,596,Goa,1586250
72,1,74,7/1/2020,1387,4,670,Goa,1586250
95,0,64,7/2/2020,1482,4,734,Goa,1586250
94,0,38,7/3/2020,1576,4,772,Goa,1586250
108,2,53,7/4/2020,1684,6,825,Goa,1586250
77,1,111,7/5/2020,1761,7,936,Goa,1586250
52,0,125,7/6/2020,1813,7,1061,Goa,1586250
90,1,95,7/7/2020,1903,8,1156,Goa,1586250
136,0,51,7/8/2020,2039,8,1207,Goa,1586250
112,1,66,7/9/2020,2151,9,1273,Goa,1586250
100,0,74,7/10/2020,2251,9,1347,Goa,1586250
117,3,81,7/11/2020,2368,12,1428,Goa,1586250
85,2,59,7/12/2020,2453,14,1487,Goa,1586250
130,3,53,7/13/2020,2583,17,1540,Goa,1586250
170,1,67,7/14/2020,2753,18,1607,Goa,1586250
198,0,67,7/15/2020,2951,18,1674,Goa,1586250
157,1,143,7/16/2020,3108,19,1817,Goa,1586250
196,2,129,7/17/2020,3304,21,1946,Goa,1586250
180,0,92,7/18/2020,3484,21,2038,Goa,1586250
173,1,180,7/19/2020,3657,22,2218,Goa,1586250
196,1,143,7/20/2020,3853,23,2361,Goa,1586250
174,3,88,7/21/2020,4027,26,2449,Goa,1586250
149,2,92,7/22/2020,4176,28,2541,Goa,1586250
174,1,114,7/23/2020,4350,29,2655,Goa,1586250
190,0,210,7/24/2020,4540,29,2865,Goa,1586250
146,4,182,7/25/2020,4686,33,3047,Goa,1586250
175,2,230,7/26/2020,4861,35,3277,Goa,1586250
258,1,133,7/27/2020,5119,36,3410,Goa,1586250
168,0,185,7/28/2020,5287,36,3595,Goa,1586250
202,3,189,7/29/2020,5489,39,3784,Goa,1586250
215,3,221,7/30/2020,5704,42,4005,Goa,1586250
209,3,206,7/31/2020,5913,45,4211,Goa,1586250
280,3,227,8/1/2020,6193,48,4438,Goa,1586250
337,5,230,8/2/2020,6530,53,4668,Goa,1586250
286,3,208,8/3/2020,6816,56,4876,Goa,1586250
259,4,238,8/4/2020,7075,60,5114,Goa,1586250
348,4,173,8/5/2020,7423,64,5287,Goa,1586250
191,2,166,8/6/2020,7614,66,5453,Goa,1586250
333,4,142,8/7/2020,7947,70,5595,Goa,1586250
259,2,207,8/8/2020,8206,72,5802,Goa,1586250
506,3,193,8/9/2020,8712,75,5995,Goa,1586250
317,5,213,8/10/2020,9029,80,6208,Goa,1586250
415,6,272,8/11/2020,9444,86,6480,Goa,1586250
480,3,161,8/12/2020,9924,89,6641,Goa,1586250
570,2,271,8/13/2020,10494,91,6912,Goa,1586250
476,2,245,8/14/2020,10970,93,7157,Goa,1586250
369,5,331,8/15/2020,11339,98,7488,Goa,1586250
300,6,287,8/16/2020,11639,104,7775,Goa,1586250
355,7,283,8/17/2020,11994,111,8058,Goa,1586250
339,5,298,8/18/2020,12333,116,8356,Goa,1586250
